,Poster,Title,Movie / TV,Year,Duration
0,"<a href=""https://www2.musichq.net//movie/star-wars-19767"" target=""_blank""><img src=""https://img.musichq.net/resize/177x268/bf/f0/bff07034962e9069d77eb6a29a96b936/bff07034962e9069d77eb6a29a96b936.jpg"" width=""50%""></a>","<a href=""https://www2.musichq.net//movie/star-wars-19767"" target=""_blank"">Star Wars</a>",Movie,1977,121m
1,"<a href=""https://www2.musichq.net//tv/star-wars-rebels-39248"" target=""_blank""><img src=""https://img.musichq.net/resize/177x268/36/59/3659c07f5408dd088c94128770eff8cb/3659c07f5408dd088c94128770eff8cb.jpg"" width=""50%""></a>","<a href=""https://www2.musichq.net//tv/star-wars-rebels-39248"" target=""_blank"">Star Wars Rebels</a>",TV,SS 4,EPS 15
2,"<a href=""https://www2.musichq.net//tv/star-wars-resistance-38585"" target=""_blank""><img src=""https://img.musichq.net/resize/177x268/3c/f7/3cf70cb86b68f8bce4a1902b6a116e21/3cf70cb86b68f8bce4a1902b6a116e21.jpg"" width=""50%""></a>","<a href=""https://www2.musichq.net//tv/star-wars-resistance-38585"" target=""_blank"">Star Wars Resistance</a>",TV,SS 2,EPS 18
3,"<a href=""https://www2.musichq.net//movie/battle-star-wars-59750"" target=""_blank""><img src=""https://img.musichq.net/resize/177x268/77/33/77337b60c5af1285cdd1aaab7074ed3b/77337b60c5af1285cdd1aaab7074ed3b.jpg"" width=""50%""></a>","<a href=""https://www2.musichq.net//movie/battle-star-wars-59750"" target=""_blank"">Battle Star Wars</a>",Movie,2020,86m
4,"<a href=""https://www2.musichq.net//movie/star-wars-the-clone-wars-13599"" target=""_blank""><img src=""https://img.musichq.net/resize/177x268/16/86/16862ed3a39549d93ca02bbc48b725f3/16862ed3a39549d93ca02bbc48b725f3.jpg"" width=""50%""></a>","<a href=""https://www2.musichq.net//movie/star-wars-the-clone-wars-13599"" target=""_blank"">Star Wars: The Clone Wars</a>",Movie,2008,98m
5,"<a href=""https://www2.musichq.net//tv/star-wars-the-clone-wars-39278"" target=""_blank""><img src=""https://img.musichq.net/resize/177x268/89/02/89023de7796a8aba0f4c6ce230f418c0/89023de7796a8aba0f4c6ce230f418c0.jpg"" width=""50%""></a>","<a href=""https://www2.musichq.net//tv/star-wars-the-clone-wars-39278"" target=""_blank"">Star Wars: The Clone Wars</a>",TV,SS 7,EPS 12
6,"<a href=""https://www2.musichq.net//tv/lego-star-wars-allstars-33871"" target=""_blank""><img src=""https://img.musichq.net/resize/177x268/72/00/72003685a6ee38c8eb35dcacc32ae066/72003685a6ee38c8eb35dcacc32ae066.jpg"" width=""50%""></a>","<a href=""https://www2.musichq.net//tv/lego-star-wars-allstars-33871"" target=""_blank"">LEGO Star Wars: All-Stars</a>",TV,SS,EPS
7,"<a href=""https://www2.musichq.net//tv/star-wars-forces-of-destiny-37456"" target=""_blank""><img src=""https://img.musichq.net/resize/177x268/39/71/3971f10afdca016ef1a6e1cb2c4b5926/3971f10afdca016ef1a6e1cb2c4b5926.jpg"" width=""50%""></a>","<a href=""https://www2.musichq.net//tv/star-wars-forces-of-destiny-37456"" target=""_blank"">Star Wars: Forces of Destiny</a>",TV,SS 2,EPS 8
8,"<a href=""https://www2.musichq.net//movie/solo-a-star-wars-story-19738"" target=""_blank""><img src=""https://img.musichq.net/resize/177x268/79/5e/795e5b7972434374d279e52cbe94acd0/795e5b7972434374d279e52cbe94acd0.jpg"" width=""50%""></a>","<a href=""https://www2.musichq.net//movie/solo-a-star-wars-story-19738"" target=""_blank"">Solo: A Star Wars Story</a>",Movie,2018,135m
9,"<a href=""https://www2.musichq.net//movie/star-wars-the-last-jedi-19791"" target=""_blank""><img src=""https://img.musichq.net/resize/177x268/26/ec/26ec0cffaa9251cae98700cfb582d83c/26ec0cffaa9251cae98700cfb582d83c.jpg"" width=""50%""></a>","<a href=""https://www2.musichq.net//movie/star-wars-the-last-jedi-19791"" target=""_blank"">Star Wars: The Last Jedi</a>",Movie,2017,152m
